Team,Group,"Previous 
appearances","Previous 
titles","Previous
 finals","Previous
 semifinals","Current  rank",RunnersUp
England,A,6,1,2,0,3,1
South Africa,A,6,0,0,2,4,0
West Indies,A,6,2,2,2,10,0
Pakistan,A,6,1,2,2,1,1
New Zealand,A,6,0,0,2,6,0
Sri Lanka,A,6,1,3,1,8,2
Afghanistan,A,2,0,0,0,7,0
Australia,A,6,0,1,2,2,1
Bangladesh,A,6,0,0,0,9,0
India,A,6,1,2,1,5,1
Papua New Guinea,A,0,0,0,0,18,0
Ireland,A,2,0,0,0,14,0
Oman,A,0,0,0,0,17,0
Namibia,A,0,0,0,0,19,0
Scotland,A,1,0,0,0,13,0
Netherlands,A,1,0,0,0,16,0
